First_Name   Last_Name    Test1  Test2  Test3  Test4  Test5  Average Grade
Johnson      Jack         85.00  83.00  77.00  91.00  76.00  82.40     B  
Aniston      Lisa         80.00  90.00  95.00  93.00  48.00  81.20     B  
Cooper       Andy         78.00  81.00  11.00  90.00  73.00  66.60     D  
Gupta        Ravi         92.00  83.00  30.00  69.00  87.00  72.20     C  
Blair        Bonny        23.00  45.00  96.00  38.00  59.00  52.20     F  
Clark        Danny        60.00  85.00  45.00  39.00  67.00  59.20     F  
Kennedy      Samantha     77.00  31.00  52.00  74.00  83.00  63.40     D  
Bronson      Robin        93.00  94.00  89.00  77.00  97.00  90.00     A  
Sunny        Sheila       79.00  85.00  28.00  93.00  82.00  73.40     C  
Smith        Kiran        85.00  72.00  49.00  75.00  63.00  68.80     D  

Class average: 70.94
